,DATA_AS_AT,TRANSACTION_ID,EXPENDITURE,STATE,JSKR_LINKAGE_KEY,STREAM_PLACEMENT_DESC,EF_CATEGORY_DESCRIPTION,DERIVED_DATE_OF_SERVICE,ACTIVITY_TYPE_DESC,ACTIVITY_SUB_DESC,EDUCATION_LEVEL_DESC,GENDER,INDIGENOUS,HOMELESS,PWD,CALD,REFUGEE,EX_OFFENDER,AGE_GROUP,UE_GROUP,year,month,year_month,EDUCATION_ADJ,EF_CATEGORY_ADJ
589886,5/08/2018,1895765J,550.0,QLD,405078,Stream C,Targeted Pre-Employment Preparation,4/04/2017,Non-Accredited Education and Training (Vocational),Employability Skills,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,4,Apr-17,Year 12/13,Pre-Employ Prep
589887,5/08/2018,2077486J,22.0,QLD,405078,Stream C,"Food, Phone and Petrol Cards/Vouchers",2/06/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,Year 12/13,Cash Cards/Vouchers
589888,5/08/2018,3770229J,1336.5,QLD,405078,Stream C,Accredited Training,6/03/2017,Accredited Education and Training (Vocational),Certificate 3,Secondary schooling completed (Year 12/13),Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,3,Mar-17,Year 12/13,Accredited Training
589936,5/08/2018,2008057J,258.5,QLD,405104,Stream C,Professional Services,17/05/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,5,May-17,Year 12/13,Prof Service
590058,5/08/2018,2053033J,136.4,WA ,405202,Stream C,Medical Expenses,12/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,55 to 59 years,24 to 59 Months,2017,5,May-17,Non-trade vocational education,Medical Expenses
590658,5/08/2018,1850388J,88.0,NSW,405707,Stream C,Work Related Licencing,21/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,50 to 54 years,60+ Months,2017,3,Mar-17,<Year 10,Work Licensing
590845,5/08/2018,1888942J,150.0,WA ,405852,Stream B,Clothing and Presentation,11/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,Year 10/11,Clothing
591268,5/08/2018,1752395J,258.5,SA ,406223,Stream C,Professional Services,13/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,4,Apr-17,Year 10/11,Prof Service
591269,5/08/2018,1688494J,258.5,SA ,406223,Stream C,Professional Services,30/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,3,Mar-17,Year 10/11,Prof Service
591270,5/08/2018,1822149J,84.15,SA ,406223,Stream C,Work Related Licencing,22/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,3,Mar-17,Year 10/11,Work Licensing
591271,5/08/2018,1879227J,258.5,SA ,406223,Stream C,Professional Services,18/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,60+ Months,2017,5,May-17,Year 10/11,Prof Service
593691,5/08/2018,1468170J,509.58,WA ,408053,Stream B,Accredited Training,18/01/2017,Accredited Education and Training (Vocational),Accredited Units,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,Year 10/11,Accredited Training
593692,5/08/2018,1570496J,47.5,WA ,408053,Stream B,Clothing and Presentation,23/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,2,Feb-17,Year 10/11,Clothing
593693,5/08/2018,1518805J,22.0,WA ,408053,Stream B,"Food, Phone and Petrol Cards/Vouchers",17/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,1,Jan-17,Year 10/11,Cash Cards/Vouchers
593694,5/08/2018,1798388J,64.9,WA ,408053,Stream B,Work Related Licencing,12/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Work Licensing
593695,5/08/2018,2095556J,940.5,WA ,408053,Stream B,Work Related Licencing,19/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,Year 10/11,Work Licensing
593696,5/08/2018,2043970J,22.0,WA ,408053,Stream B,"Food, Phone and Petrol Cards/Vouchers",7/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,Year 10/11,Cash Cards/Vouchers
593697,5/08/2018,1946812J,39.0,WA ,408053,Stream B,"Tools, Books, Equipment and Mobile Phones",24/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,5,May-17,Year 10/11,Other Items
593698,5/08/2018,2095082J,940.5,WA ,408053,Stream B,Work Related Licencing,12/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,Year 10/11,Work Licensing
593699,5/08/2018,1782329J,33.1,WA ,408053,Stream B,"Food, Phone and Petrol Cards/Vouchers",12/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Cash Cards/Vouchers
593700,5/08/2018,2076547J,44.0,WA ,408053,Stream B,"Food, Phone and Petrol Cards/Vouchers",21/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,Year 10/11,Cash Cards/Vouchers
593701,5/08/2018,2095084J,77.0,WA ,408053,Stream B,Work Related Licencing,12/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,6,Jun-17,Year 10/11,Work Licensing
593702,5/08/2018,1799607J,22.0,WA ,408053,Stream B,"Food, Phone and Petrol Cards/Vouchers",11/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,4,Apr-17,Year 10/11,Cash Cards/Vouchers
594663,5/08/2018,1462748J,24.2,NSW,408758,Stream B,Work Related Items,20/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,1,Jan-17,<Year 10,Work Items
594664,5/08/2018,1740583J,61.6,NSW,408758,Stream B,Work Related Licencing,22/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Work Licensing
594665,5/08/2018,1777131J,72.85,NSW,408758,Stream B,Clothing and Presentation,13/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,3,Mar-17,<Year 10,Clothing
594666,5/08/2018,1508616J,157.96,NSW,408758,Stream B,Clothing and Presentation,7/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Clothing
594667,5/08/2018,2341948J,11.0,NSW,408758,Stream B,"Food, Phone and Petrol Cards/Vouchers",14/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Cash Cards/Vouchers
594668,5/08/2018,1567914J,22.0,NSW,408758,Stream B,"Food, Phone and Petrol Cards/Vouchers",3/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Cash Cards/Vouchers
594669,5/08/2018,2341991J,22.0,NSW,408758,Stream B,"Food, Phone and Petrol Cards/Vouchers",14/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Cash Cards/Vouchers
594737,5/08/2018,1881011J,682.0,WA ,408836,Stream B,Work Related Licencing,4/05/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,Non-trade vocational education,Work Licensing
594738,5/08/2018,1880919J,1342.0,WA ,408836,Stream B,Work Related Licencing,10/04/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Work Licensing
594739,5/08/2018,1707379J,27.5,WA ,408836,Stream B,"Food, Phone and Petrol Cards/Vouchers",13/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Cash Cards/Vouchers
594740,5/08/2018,1706576J,616.0,WA ,408836,Stream B,Work Related Items,2/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Work Items
594741,5/08/2018,1811281J,168.0,WA ,408836,Stream B,Clothing and Presentation,7/04/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Clothing
594742,5/08/2018,1708251J,32.97,WA ,408836,Stream B,Clothing and Presentation,13/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Clothing
594744,5/08/2018,1735940J,44.9,WA ,408836,Stream B,Work Related Items,31/01/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,1,Jan-17,Non-trade vocational education,Work Items
594746,5/08/2018,2156224J,330.0,WA ,408836,Stream B,Accredited Training,12/04/2017,Accredited Education and Training (Vocational),Accredited Units,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Accredited Training
594747,5/08/2018,1963213J,64.13,WA ,408836,Stream B,Work Related Licencing,26/04/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Work Licensing
594748,5/08/2018,1962247J,52.8,WA ,408836,Stream B,Work Related Items,21/04/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,4,Apr-17,Non-trade vocational education,Work Items
595755,5/08/2018,1679727J,179.75,NSW,409594,Stream C,Clothing and Presentation,6/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,<Year 10,Clothing
595756,5/08/2018,2024940J,229.95,NSW,409594,Stream C,Clothing and Presentation,18/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,<Year 10,Clothing
595757,5/08/2018,2024844J,55.0,NSW,409594,Stream C,Job Seeker Transport,4/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,<Year 10,Transport
595758,5/08/2018,2057701J,244.7,NSW,409594,Stream C,Clothing and Presentation,4/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,4,Apr-17,<Year 10,Clothing
596486,5/08/2018,2037522J,22.0,NSW,410189,Stream B,Job Seeker Transport,12/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,40 to 49 years,24 to 59 Months,2017,5,May-17,<Year 10,Transport
596487,5/08/2018,1916272J,236.5,NSW,410189,Stream B,Work Related Licencing,17/05/2017,,,Primary school or less than Year 10,Female,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,5,May-17,<Year 10,Work Licensing
596946,5/08/2018,1792461J,52.25,WA ,410534,Stream C,"Food, Phone and Petrol Cards/Vouchers",19/04/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,50 to 54 years,60+ Months,2017,4,Apr-17,Year 10/11,Cash Cards/Vouchers
596947,5/08/2018,1829645J,39.0,WA ,410534,Stream C,"Tools, Books, Equipment and Mobile Phones",19/04/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,50 to 54 years,60+ Months,2017,4,Apr-17,Year 10/11,Other Items
597921,5/08/2018,1880463J,27.0,NSW,411314,Stream B,Job Seeker Transport,19/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,Under 12 Months,2017,4,Apr-17,<Year 10,Transport
597922,5/08/2018,1880045J,88.0,NSW,411314,Stream B,Job Seeker Transport,19/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,Under 12 Months,2017,4,Apr-17,<Year 10,Transport
597923,5/08/2018,1913747J,255.0,NSW,411314,Stream B,Clothing and Presentation,18/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,40 to 49 years,Under 12 Months,2017,5,May-17,<Year 10,Clothing
598345,5/08/2018,1598684J,170.47,WA ,411704,Stream B,"Tools, Books, Equipment and Mobile Phones",16/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,1,Jan-17,<Year 10,Other Items
598866,5/08/2018,1892488J,57.0,NSW,412224,Stream B,Clothing and Presentation,30/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,3,Mar-17,<Year 10,Clothing
598870,5/08/2018,1849782J,30.0,NSW,412224,Stream B,"Food, Phone and Petrol Cards/Vouchers",17/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,2,Feb-17,<Year 10,Cash Cards/Vouchers
598871,5/08/2018,1916863J,160.0,NSW,412224,Stream B,Clothing and Presentation,30/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,60+ Months,2017,3,Mar-17,<Year 10,Clothing
599823,5/08/2018,1623483J,50.0,QLD,412901,Stream B,Driving Lessons,22/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Driving Lessons
600106,5/08/2018,2041102J,150.0,NSW,413088,Stream C,Professional Services,14/06/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,6,Jun-17,Non-trade vocational education,Prof Service
600107,5/08/2018,2105532J,550.0,NSW,413088,Stream C,Targeted Pre-Employment Preparation,19/06/2017,Non-Accredited Education and Training (Vocational),Pre-Employment Training,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,6,Jun-17,Non-trade vocational education,Pre-Employ Prep
600108,5/08/2018,1636391J,150.0,NSW,413088,Stream C,Professional Services,8/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Prof Service
600510,5/08/2018,1758506J,825.0,QLD,413346,Stream C,Accredited Training,3/03/2017,Accredited Education and Training (Vocational),Accredited Units,Trades qualification,Male,1.0,1.0,,,,1.0,55 to 59 years,60+ Months,2017,3,Mar-17,Trade/TAFE,Accredited Training
600511,5/08/2018,1723783J,162.47,QLD,413346,Stream C,"Food, Phone and Petrol Cards/Vouchers",31/03/2017,,,Trades qualification,Male,1.0,1.0,,,,1.0,55 to 59 years,60+ Months,2017,3,Mar-17,Trade/TAFE,Cash Cards/Vouchers
600512,5/08/2018,1823533J,46.42,QLD,413346,Stream C,"Food, Phone and Petrol Cards/Vouchers",28/04/2017,,,Trades qualification,Male,1.0,1.0,,,,1.0,55 to 59 years,60+ Months,2017,4,Apr-17,Trade/TAFE,Cash Cards/Vouchers
600513,5/08/2018,2109354J,46.42,QLD,413346,Stream C,"Food, Phone and Petrol Cards/Vouchers",29/06/2017,,,Trades qualification,Male,1.0,1.0,,,,1.0,55 to 59 years,60+ Months,2017,6,Jun-17,Trade/TAFE,Cash Cards/Vouchers
603204,5/08/2018,1636983J,15.0,TAS,415671,Stream B,Post Placement Support,9/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Post Placement Support
603205,5/08/2018,1610593J,30.0,TAS,415671,Stream B,Post Placement Support,2/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Post Placement Support
603206,5/08/2018,1627072J,15.0,TAS,415671,Stream B,Post Placement Support,7/03/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,3,Mar-17,Year 10/11,Post Placement Support
603207,5/08/2018,1794453J,30.0,TAS,415671,Stream B,Post Placement Support,20/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,4,Apr-17,Year 10/11,Post Placement Support
603208,5/08/2018,1745063J,20.0,TAS,415671,Stream B,Post Placement Support,4/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,4,Apr-17,Year 10/11,Post Placement Support
603209,5/08/2018,1839587J,125.4,TAS,415671,Stream B,Professional Services,28/04/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,4,Apr-17,Year 10/11,Prof Service
603210,5/08/2018,1562802J,20.0,TAS,415671,Stream B,Post Placement Support,21/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,2,Feb-17,Year 10/11,Post Placement Support
603211,5/08/2018,1934731J,20.0,TAS,415671,Stream B,Post Placement Support,19/05/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,24 to 59 Months,2017,5,May-17,Year 10/11,Post Placement Support
603245,5/08/2018,1590620J,48.4,NSW,415714,Stream B,Work Related Licencing,10/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Year 10/11,Work Licensing
603246,5/08/2018,2158053J,70.0,NSW,415714,Stream B,Driving Lessons,30/06/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,6,Jun-17,Non-trade vocational education,Driving Lessons
603680,5/08/2018,2097681J,352.19,TAS,416067,Stream C,Job Seeker Transport,26/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,6,Jun-17,<Year 10,Transport
603681,5/08/2018,1847475J,55.0,TAS,416067,Stream C,"Food, Phone and Petrol Cards/Vouchers",1/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,5,May-17,<Year 10,Cash Cards/Vouchers
603682,5/08/2018,2088733J,31.0,TAS,416067,Stream C,Clothing and Presentation,20/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,6,Jun-17,<Year 10,Clothing
603683,5/08/2018,2066742J,89.2,TAS,416067,Stream C,Work Related Items,19/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,6,Jun-17,<Year 10,Work Items
603684,5/08/2018,2124901J,18.0,TAS,416067,Stream C,Job Seeker Transport,20/06/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,6,Jun-17,<Year 10,Transport
603685,5/08/2018,1488659J,343.89,TAS,416067,Stream C,Clothing and Presentation,30/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,1,Jan-17,<Year 10,Clothing
603686,5/08/2018,1531035J,50.01,TAS,416067,Stream C,"Food, Phone and Petrol Cards/Vouchers",1/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,2,Feb-17,<Year 10,Cash Cards/Vouchers
603687,5/08/2018,1461120J,55.0,TAS,416067,Stream C,"Food, Phone and Petrol Cards/Vouchers",12/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,1,Jan-17,<Year 10,Cash Cards/Vouchers
603688,5/08/2018,1445254J,78.0,TAS,416067,Stream C,"Tools, Books, Equipment and Mobile Phones",16/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,1,Jan-17,<Year 10,Other Items
605025,5/08/2018,2151630J,120.0,QLD,417171,Stream C,Clothing and Presentation,25/05/2017,,,Year 10/11,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,Under 12 Months,2017,5,May-17,Year 10/11,Clothing
605913,5/08/2018,1602262J,22.0,NSW,417888,Stream B,Clothing and Presentation,20/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Clothing
605914,5/08/2018,1544723J,167.76,NSW,417888,Stream B,Clothing and Presentation,9/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Clothing
605915,5/08/2018,1801803J,44.0,NSW,417888,Stream B,"Food, Phone and Petrol Cards/Vouchers",6/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Cash Cards/Vouchers
605916,5/08/2018,1522475J,88.0,NSW,417888,Stream B,Work Related Items,9/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Work Items
605917,5/08/2018,1762182J,125.0,NSW,417888,Stream B,Clothing and Presentation,22/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Clothing
607760,5/08/2018,1511995J,112.5,WA ,419356,Stream B,Professional Services,3/02/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,30 to 39 years,12 to 23 Months,2017,2,Feb-17,Year 10/11,Prof Service
608268,5/08/2018,2141383J,17.4,NT ,419747,Stream C,Job Seeker Transport,2/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Transport
608269,5/08/2018,1656543J,48.4,NT ,419747,Stream C,Work Related Items,7/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Work Items
608270,5/08/2018,1566020J,25.0,NT ,419747,Stream C,Work Related Licencing,3/02/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Work Licensing
608271,5/08/2018,1553658J,528.0,NT ,419747,Stream C,Accredited Training,19/01/2017,Accredited Education and Training (Vocational),Accredited Units - LLN,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,1,Jan-17,Non-trade vocational education,Accredited Training
608272,5/08/2018,1485221J,67.35,NT ,419747,Stream C,Work Related Items,25/01/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,1,Jan-17,Non-trade vocational education,Work Items
608273,5/08/2018,1723511J,43.5,NT ,419747,Stream C,Clothing and Presentation,7/03/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,30 to 39 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Clothing
608973,5/08/2018,1413733J,82.0,VIC,420367,Stream B,Clothing and Presentation,6/01/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,25 to 29 years,60+ Months,2017,1,Jan-17,Year 10/11,Clothing
609938,5/08/2018,1459158J,103.95,WA ,421118,Stream B,Job Seeker Transport,12/01/2017,,,Non-trade vocational education,Female,1.0,1.0,1.0,,,1.0,22 to 24 years,60+ Months,2017,1,Jan-17,Non-trade vocational education,Transport
610744,5/08/2018,2038956J,297.8,NSW,421737,Stream C,Clothing and Presentation,28/04/2017,,,Non-trade vocational education,Male,1.0,1.0,,,,1.0,25 to 29 years,Under 12 Months,2017,4,Apr-17,Non-trade vocational education,Clothing
613372,5/08/2018,1806321J,137.94,NSW,423861,Stream C,Professional Services,20/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,4,Apr-17,<Year 10,Prof Service
613373,5/08/2018,1806311J,137.94,NSW,423861,Stream C,Professional Services,6/04/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,4,Apr-17,<Year 10,Prof Service
613374,5/08/2018,1762683J,137.94,NSW,423861,Stream C,Professional Services,23/03/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,3,Mar-17,<Year 10,Prof Service
613379,5/08/2018,1406471J,8.5,NSW,423861,Stream C,"Tools, Books, Equipment and Mobile Phones",3/01/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,1,Jan-17,<Year 10,Other Items
613381,5/08/2018,1933688J,55.0,NSW,423861,Stream C,Professional Services,18/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,5,May-17,<Year 10,Prof Service
613382,5/08/2018,1866420J,55.0,NSW,423861,Stream C,Professional Services,5/05/2017,,,Primary school or less than Year 10,Male,1.0,1.0,,,,1.0,Under 22 years,24 to 59 Months,2017,5,May-17,<Year 10,Prof Service
613435,5/08/2018,1644278J,440.15,QLD,423921,Stream C,Job Seeker Transport,20/02/2017,,,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,2,Feb-17,<Year 10,Transport
613436,5/08/2018,1684359J,1485.0,QLD,423921,Stream C,Accredited Training,15/03/2017,Accredited Education and Training (Vocational),Accredited Units,Primary school or less than Year 10,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,12 to 23 Months,2017,3,Mar-17,<Year 10,Accredited Training
614217,5/08/2018,2113799J,57.2,SA ,424495,Stream C,Clothing and Presentation,9/06/2017,,,Year 10/11,Male,1.0,1.0,,,,1.0,22 to 24 years,24 to 59 Months,2017,6,Jun-17,Year 10/11,Clothing
615372,5/08/2018,1629590J,31.35,QLD,425329,Stream C,Professional Services,21/02/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,2,Feb-17,Non-trade vocational education,Prof Service
615373,5/08/2018,1643551J,125.4,QLD,425329,Stream C,Professional Services,7/03/2017,,,Non-trade vocational education,Male,1.0,1.0,1.0,,,1.0,30 to 39 years,24 to 59 Months,2017,3,Mar-17,Non-trade vocational education,Prof Service
615497,5/08/2018,2059855J,330.0,QLD,425453,Stream B,Accredited Training,18/05/2017,Accredited Education and Training (Vocational),Accredited Units,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,40 to 49 years,Under 12 Months,2017,5,May-17,Year 12/13,Accredited Training
615498,5/08/2018,1844025J,126.45,QLD,425453,Stream B,Clothing and Presentation,6/04/2017,,,Secondary schooling completed (Year 12/13),Male,1.0,1.0,,,,1.0,40 to 49 years,Under 12 Months,2017,4,Apr-17,Year 12/13,Clothing
